Part#,Product#,Product Line,Status,Standard,Non Standard,Sample,Details 1,Details 2
97130-101001,97130,Fire Protection,Standard,97130-0A00A,,,10in / Aluminum ANSI-FF / Horizontal or Vertical / 316SS / Insulation Jacket / 10in,"10"" H-THERMAL VALVE ALUM"
94200-52042300,94200,Emergency Vents,Discontinued Feature,,Discontinued Feature,,#N/A,"24""API EMRG/VENT 316SS SP"
94306-141177,94306,Fire Protection,Standard,94306-3A3A,,,3in / ALUMINUM / ANSI-FF 150# / Aluminum Bank / Aluminum Shell,"3"" ALUM FLM/ARR AL/TB&SH"
94020A19210305,94020,Pressure / Vacuum Vents,TBD,,,,,"12""PN16 BV-ALUM FEP SS/TR"
94020C762106001,94020,Pressure / Vacuum Vents,TBD,,,,,"6""PN16-FF 316L|316L/TRM|V"
94126-01,94126,Pressure / Vacuum Vents,Standard,94126-01,,,NoKit,"VENT,6""SCW INLET, HOOD &"
97120-066032101,97120,Wastewater - Tanks,SP,,SP,97120-06F06AB,6 / 316SS / CR / No Finish / None / 316/316L SS / ANSI-FF / 5 PSIG,"6""FF ST-316 SS/SG NEOP 5#"
96330I09200000,96330,Fire Protection,Standard,96330I-09A2100,,,2 / 2 / Standard Leakage / Single Spring (All Sizes) / 'J'Flange 300 / SRF Smooth,"2""300#J ISV,IPI,RF,STL,HN"
94020R190112E51,94020,Pressure / Vacuum Vents,TBD,,,,,"12"" BV-ALUM,XOS,SS:S,P,T"
811347,81134,L&J Spare Parts,TBD,,,,,KIT-2000M DISPLAY MOUNTIN
96330I13200000,96330,Fire Protection,Standard,96330I-13A2100,,,4 / 4 / Standard Leakage / Single Spring (All Sizes) / 'J'Flange 300 / SRF Smooth,"4""300#J ISV,IPI,CS,RF,HNB"
820165,82016,L&J Spare Parts,TBD,,,,,PCB ASSY 12 POS CONDULET
97120-10631110,97120,Wastewater - Tanks,Standard,97120-10E10DC,,,10 / Bronze / CR / Epoxy Internal & External / None / STEEL / ANSI-FF / 5 PSIG,"10""FF ST-STL BRAS/SG 5# E"
D220-S-14-H,D220-,Delavan 220,TBD,,,,,SONAC 220 W/ 14 SENSORS B
94221-210321,94221,Emergency Vents,Standard,94221-4D4A5A10,,,24 / STEEL / API-650 / 316SS / 24 / 24 / 316SS / 1.0 - 1.49 / 316SS / Standard,"24""API PVEV/CS 316/PAL SP"
95210-252202,95210,Gauge Hatches,Standard,95210-252202,,,NoKit,"36""ANSI MC-316 SS/CLMP CR"
97190-04331113,97190,Wastewater - Misc,Standard,97190-04331113,,,NoKit,"12""FF/AL 316/RTR 316/TEF"
97120-04602200,97120,Wastewater - Tanks,Discontinued Feature,,Discontinued Feature,,#N/A,"4""FF ST-304SS 316/SG NBR"
94020A19010205,94020,Pressure / Vacuum Vents,TBD,,,,,"12""FF P&V-AL,OV, SP>5""WC"
97570R160B18KD2,97570,Fire Protection,TBD,,,,,"6""AL|316:T/B+TRM|AW|IW|JK"
2000M0117004250,2000M,Transmitters,TBD,,,,,2000M VAREC/SPT/AI/PRFBUS
2150U,2150U,L&J Spare Parts,TBD,,,,,MCG 2150 INFRARED CALIBRA
96330 15200000,96330,Fire Protection,Standard,96330-15A2100,,,6 / 6 / Standard Leakage / Single Spring (All Sizes) / 'J'Flange 300 / SRF Smooth,"6""300#J ISV STL|RF|HNBR"
1600F0035116100,1600F,Radar Level Gauges,TBD,,,,,AL/BSW/DEN/2AI/2R/TAV/LJH
97190-44331123,97190,Wastewater - Misc,Standard,97190-44331123,,,NoKit,"4""AL/FF 316/RTR 17-4 NUT"
97570=150D17G01,97570,Fire Protection,TBD,,,,,"4X6""AL|316:TB|AW|JKT|IW:6"
